number_of_rooms;square_meters;place_type;street;zip_city;char.1;char.2;char.3;rent;p/squarem/y
3 rooms ; 78 m_ ; Apartment;Rue Etienne- Dumont 3; 1204 Genève;Spacious 78m_ layout;Modern equipped kitchen;Cozy living room with fireplace;CHF 3,650.-;CHF 562 / m_ / year
5.5 rooms ; 120 m_ ; Apartment;Rue De L' Aubépine 3; 1205 Genève;Strategic location;Fully renovated;Balcony access;CHF 3,900.-;CHF 390 / m_ / year
6 rooms ; 130 m_ ; Apartment;;1206 Genève;Three sunny balconies;Master bedroom with view;Fully equipped kitchen;CHF 4,517.-;CHF 417 / m_ / year
3 rooms ; 80 m_ ; Apartment;;1203 Genève;Central yet quiet location;Private covered parking;Includes utilities and internet;CHF 2,160.-;CHF 324 / m_ / year
10 rooms ; 314 m_ ; Apartment;;1205 Genève;Elegant inner patio;High-end finishes;Private parking with charger;CHF 10,500.-;CHF 401 / m_ / year
5.5 rooms ; 102 m_ ; Apartment;Parc Du Château-Banquet 8; 1202 Genève;Equipped kitchen;Balcony with view;Close to public transport;CHF 4,540.-;CHF 534 / m_ / year
5 rooms ; 150 m_ ; Penthouse;;1206 Genève;Panoramic terraces;Direct elevator access;Spacious, bright living area;CHF 7,500.-;CHF 600 / m_ / year
6 rooms ;; Apartment;Rue De La Terrassière 43; 1207 Genève;Spacious living area;Balcony access;Equipped kitchen;CHF 4,280.-;—
5 rooms ; 115 m_ ; Apartment;Avenue De Champel 41; 1206 Genève;Champel heart location;Near Léman Express;Equipped kitchen & balcony;CHF 3,700.-;CHF 386 / m_ / year
9 rooms ; 232 m_ ; Apartment;;1207 Genève;Historic 19th-century charm;Modern kitchen with dining;Spacious balcony access;CHF 7,740.-;CHF 400 / m_ / year
3 rooms ;; Apartment;Boulevard De Saint-Georges 62; 1205 Genève;Equipped modern kitchen;Built-in wardrobes;Close to amenities;CHF 2,295.-;—
3 rooms ; 53 m_ ; Apartment;;1205 Genève;Tastefully furnished;Bright living room;Equipped kitchen;CHF 3,180.-;CHF 720 / m_ / year
8 rooms ;; Penthouse;Chemin De-Normandie 4; 1206 Genève;Exceptional rooftop terrace;Spacious living with fireplace;Close to public transport;CHF 7,720.-;—
6.5 rooms ; 162 m_ ; Apartment;;1202 Genève;Bright and spacious living;Close to city center;Balcony with courtyard view;CHF 6,717.-;CHF 498 / m_ / year
4.5 rooms ; 85 m_ ; Apartment;Rue des Allobroges 35; 1227 Les Acacias;Fully renovated interior;Open kitchen with island;Close to public transport;CHF 3,590.-;CHF 507 / m_ / year
4 rooms ; 110 m_ ; Furnished apartment;;1208 Genève;Recently renovated;Private garage included;Close to parks and shops;CHF 5,400.-;CHF 589 / m_ / year
6 rooms ; 290 m_ ; Apartment;Rue De La Pélisserie 18; 1204 Genève;Private elevator access;Spacious living area;Master suite with dressing;CHF 9,130.-;CHF 378 / m_ / year
6.5 rooms ;; Apartment;Chemin Des Coudriers 48; 1209 Genève;Modern equipped kitchen;Balcony overlooking garden;Quiet green surroundings;CHF 5,000.-;—
7 rooms ; 216 m_ ; Apartment;;1208 Genève;Bright living room with fireplace;Two sunny terraces;Motorized blinds & AC;CHF 8,100.-;CHF 450 / m_ / year
5.5 rooms ; 180 m_ ; Apartment;;1206 Genève;Stunning south-facing light;Modern kitchen with wine cellar;Two large balconies, 40 m2;CHF 7,490.-;CHF 499 / m_ / year
4 rooms ; 104 m_ ; Apartment;;1202 Genève;Open kitchen with terrace;Cozy attic bedroom;Close to amenities;CHF 4,420.-;CHF 510 / m_ / year
6.5 rooms ; 183 m_ ; Apartment;Avenue de Champel 1; 1205 Genève;Elegant entrance hall;Spacious living room;Gym and cellar included;CHF 7,180.-;CHF 471 / m_ / year
6.5 rooms ; 162 m_ ; Apartment;Avenue De France 6; 1202 Genève;Decorative fireplace;Equipped closed kitchen;Balcony access from dining;CHF 6,500.-;CHF 481 / m_ / year
5.5 rooms ; 123 m_ ; Apartment;Avenue De La Gare-Des-Eaux-Vives 12; 1207 Genève;Renovated with modern kitchen;Spacious double living room;Balcony access for relaxation;CHF 4,950.-;CHF 483 / m_ / year
6 rooms ; 145 m_ ; Apartment;Rue Jean- Calvin 12; 1204 Genève;Spacious 39 m_ terrace;Fully equipped kitchen;Quiet, prime location;CHF 7,000.-;CHF 579 / m_ / year
5.5 rooms ;; Apartment;;1209 Genève;Stunning Jura views;Spacious family living;Quiet neighborhood access;CHF 4,585.-;—
4 rooms ; 135 m_ ; Apartment;Rue De Saint-Jean 32a; 1203 Genève;Stunning Rhône view;Spacious, bright living room;Equipped kitchen;CHF 5,240.-;CHF 466 / m_ / year
3 rooms ;; Apartment;;1205 Genève;Cozy balcony for relaxation;All utilities included;Prime location in Plainpalais;CHF 2,100.-;—
6 rooms ; 120 m_ ; Apartment;;1204 Genève;Bright open living area;Modern fully equipped kitchen;Quiet central location;CHF 5,150.-;CHF 515 / m_ / year
1 room ; 19 m_ ; Furnished apartment;;1205 Genève;Equipped kitchen space;Close to University;Vibrant neighborhood life;CHF 1,660.-;CHF 1,048 / m_ / year
4.5 rooms ; 125 m_ ; Furnished apartment;;1209 Genève;High-end Italian furniture;Spacious 12m2 balcony;Premium Bulthaup kitchen;CHF 7,100.-;CHF 682 / m_ / year
7 rooms ; 197 m_ ; Apartment;Rue Voltaire 7; 1201 Genève;High ceilings for spacious feel;Functional fireplaces in living areas;Prime location near transport;CHF 5,600.-;CHF 341 / m_ / year
6 rooms ; 180 m_ ; Apartment;;1206 Genève;Indoor swimming pool;Spacious 80 m2 terrace;Stunning city and park views;CHF 7,990.-;CHF 533 / m_ / year
7 rooms ; 180 m_ ; Apartment;;1206 Genève;Spacious 180 m_ layout;Two sunny loggias;High-end kitchen amenities;CHF 7,770.-;CHF 518 / m_ / year
5 rooms ; 150 m_ ; Apartment;;1204 Genève;Close to public transport;Proximity to international orgs;Spacious storage solutions;CHF 4,300.-;CHF 344 / m_ / year
3 rooms ; 55 m_ ; Apartment;;1205 Genève;Contemporary building;Secure access with elevator;Close to schools and shops;CHF 2,191.-;CHF 478 / m_ / year
5 rooms ; 165 m_ ; Apartment;;1206 Genève;Heart of Florissant;Modern renovations;Spacious living areas;CHF 6,350.-;CHF 462 / m_ / year
2.5 rooms ; 66 m_ ; Apartment;;1204 Genève;Stunning lake view;Fully furnished & equipped;Close to public transport;CHF 3,300.-;CHF 600 / m_ / year
3 rooms ; 63 m_ ; Apartment;Rue De Lausanne 23; 1201 Genève;Bright living room with parquet;Closed kitchen for privacy;Separate WC for convenience;CHF 2,233.-;CHF 425 / m_ / year
4.5 rooms ; 105 m_ ; Apartment;;1203 Genève;Near Rhône River;Includes balcony space;Private parking available;CHF 3,990.-;CHF 456 / m_ / year
4 rooms ; 75 m_ ; Apartment;;1203 Genève;Fully furnished & renovated;Quiet location near amenities;Balcony with city views;CHF 3,192.-;CHF 511 / m_ / year
3 rooms ; 65 m_ ; Apartment;;1204 Genève;Quiet location in Lignon;Balcony with city views;All utilities included;CHF 2,736.-;CHF 505 / m_ / year
6 rooms ; 105 m_ ; Attic flat;Rue Charles- Giron 14; 1203 Genève;Spacious living area;Equipped kitchen with view;Elegant finishes throughout;CHF 4,870.-;CHF 557 / m_ / year
3 rooms ; 79 m_ ; Furnished apartment;;1201 Genève;Ready to move in;Modern and stylish;Convenient location;CHF 1,500.-;CHF 228 / m_ / year
8 rooms ; 228 m_ ; Apartment;Place Camoletti 6; 1207 Genève;Stunning fountain view;Prime lake location;Spacious, equipped kitchen;CHF 7,500.-;CHF 395 / m_ / year
5 rooms ; 90 m_ ; Apartment;;1205 Genève;Spacious 60 m_ living area;Modern equipped kitchen;Central location with amenities;CHF 4,300.-;CHF 573 / m_ / year
4 rooms ; 78 m_ ; Apartment;;1205 Genève;Open, equipped kitchen;Two bedrooms;Private bathroom;CHF 3,120.-;CHF 480 / m_ / year
4 rooms ; 88 m_ ; Apartment;Rue Jean- Jaquet 18; 1201 Genève;Bright and spacious apartment;Near lake and transport;Fully equipped kitchen;CHF 3,040.-;CHF 415 / m_ / year
4 rooms ; 82 m_ ; Apartment;Quai Gustave- Ador 60; 1207 Genève;Lake and Jet d'Eau view;Two loggias;Modern equipped kitchen;CHF 4,460.-;CHF 653 / m_ / year
5 rooms ; 146 m_ ; Apartment;Rue Giovanni- Gambini 1; 1206 Genève;Mont Salève view;Fully equipped kitchen;Near shops and schools;CHF 6,500.-;CHF 534 / m_ / year
4 rooms ;; Apartment;;1203 Genève;Includes a private box;Washer connection available;Bright and spacious layout;CHF 2,250.-;—
5 rooms ; 120 m_ ; Apartment;Cours De Rive; 1204 Genève;Completely renovated;Open kitchen;Central location;CHF 4,500.-;CHF 450 / m_ / year
3 rooms ;; Furnished apartment;Rue de Saint-Jean; 1203 Genève;Fully furnished and stylish;Sunny south-facing balcony;Quiet courtyard bedroom;CHF 2,650.-;—
1 room ; 31 m_ ; Furnished apartment;Rue De Neuchâtel 16; 1201 Genève;Close to Lake Geneva;Near Cornavin Station;3rd floor with views;CHF 1,550.-;CHF 600 / m_ / year
5 rooms ; 100 m_ ; Apartment;;1204 Genève;High ceilings & moldings;Decorative fireplace charm;Prime location near amenities;CHF 4,500.-;CHF 540 / m_ / year
6.5 rooms ; 220 m_ ; Apartment;;1201 Genève;Spacious terrace with lake view;Prestigious central location;Functional kitchen for comfort;CHF 12,000.-;CHF 655 / m_ / year
4 rooms ;; Apartment;Avenue De-Budé 12; 1202 Genève;Spacious balcony with view;Close to international offices;Quiet residential area;CHF 3,900.-;—
5.5 rooms ; 106 m_ ; Apartment;Parc Du Château-Banquet 26; 1202 Genève;Stunning lake views;Close to amenities;Spacious 106m2 layout;On request;—
4 rooms ; 74 m_ ; Apartment;Rue Jean- Jaquet; 1201 Genève;Spacious 74 m_ layout;Inviting balcony space;Equipped kitchen area;CHF 2,827.-;CHF 458 / m_ / year
5.5 rooms ; 260 m_ ; Apartment;;1201 Genève;Stunning Rhône views;Two spacious balconies;Master suite with jacuzzi;CHF 7,500.-;CHF 346 / m_ / year
7 rooms ; 315 m_ ; Apartment;;1204 Genève;Stunning city views;High-end finishes;Mezzanine for extra space;CHF 10,000.-;CHF 381 / m_ / year
1.5 rooms ; 29 m_ ; Apartment;;1206 Genève;Near Parc Bertrand;Equipped kitchenette;Cozy living area;CHF 1,310.-;CHF 542 / m_ / year
5 rooms ;; Apartment;Cours de Rive; 1204 Genève;Prime city center location;Charming exposed beams;Equipped modern kitchen;CHF 4,500.-;—
5 rooms ;; Apartment;Cours de Rive; 1204 Genève;Elegant living with balcony;Spacious separate kitchen;Charming parquet flooring;CHF 4,740.-;—
9 rooms ; 295 m_ ; Apartment;Parc Du Château-Banquet 16; 1202 Genève;Stunning Jet d'Eau view;Spacious 295 m2 area;3 sunny balconies;On request;—
4 rooms ; 120 m_ ; Apartment;Rue De La Confédération 6; 1204 Genève;Sunny southwest view;Green view;Near city center;CHF 4,100.-;CHF 410 / m_ / year
6 rooms ;; Single house;;1208 Genève;Spacious private garden;Direct terrace access;Equipped basement area;CHF 5,000.-;—
8 rooms ; 300 m_ ; Apartment;;1201 Genève;Stunning Rhône views;Spacious terrace access;Modern equipped kitchen;CHF 7,000.-;CHF 280 / m_ / year
8.5 rooms ; 240 m_ ; Apartment;;1206 Genève;Furnished attic apartment;Panoramic view;Peaceful atmosphere;CHF 16,002.-;CHF 800 / m_ / year
4.5 rooms ; 100 m_ ; Apartment;Rue John- Rehfous; 1208 Genève;Bright and airy living space;Located in a quiet area;Close to shops and transport;CHF 4,000.-;CHF 480 / m_ / year
4 rooms ; 65 m_ ; Apartment;;1207 Genève;Spacious, light-filled living;Equipped modern kitchen;Prime location near amenities;CHF 4,800.-;CHF 886 / m_ / year
4.5 rooms ; 80 m_ ; Apartment;;1204 Genève;Fully furnished and equipped;Mezzanine for office/guest;Steps from Lake Geneva;CHF 4,500.-;CHF 675 / m_ / year
3 rooms ;; Apartment;Chemin du Champ-d'Anier 2; 1209 Genève;Spacious living area;Fully equipped kitchen;Close to public transport;CHF 2,650.-;—
6.5 rooms ;; Apartment;;1204 Genève;Modern equipped kitchen;Private garden view;Calm green surroundings;CHF 4,700.-;—
4 rooms ; 93 m_ ; Apartment;;1201 Genève;Stunning lake view;Two sunny balconies;Modern open kitchen;CHF 5,500.-;CHF 710 / m_ / year
4 rooms ; 110 m_ ; Apartment;;1205 Genève;Bright living area;Fully equipped kitchen;Master bedroom with ensuite;CHF 4,950.-;CHF 540 / m_ / year
5.5 rooms ; 120 m_ ; Apartment;;1209 Genève;Spacious living area;Balcony with park view;Close to international orgs;CHF 4,900.-;CHF 490 / m_ / year
4 rooms ; 75 m_ ; Apartment;;1207 Genève;Unique design and comfort;Balcony with city views;Jacuzzi in the bathroom;CHF 4,200.-;CHF 672 / m_ / year
3 rooms ; 78 m_ ; Apartment;;1208 Genève;Historic building charm;Balcony with city views;Fully equipped kitchen;CHF 4,350.-;CHF 669 / m_ / year
4 rooms ; 90 m_ ; 300 m_ Plot ;;1207 Genève;Bright and friendly spaces;Cozy garden for spring;Parking space included;CHF 4,750.-;CHF 633 / m_ / year
3.5 rooms ; 63 m_ ; Apartment;Chemin du Champ-d'Anier 2; 1209 Genève;Spacious living area;Modern kitchen design;Bright and airy rooms;CHF 2,650.-;CHF 505 / m_ / year
9 rooms ; 183 m_ ; Apartment;Chemin Du Petit-Saconnex; 1209 Genève;Panoramic Mont-Blanc view;Bright and sunny interiors;Corner unit for extra light;On request;—
7.5 rooms ; 300 m_ ; Single house;;1206 Genève;Spacious living area;Stunning river views;Modern design features;On request;—
3.5 rooms ;; Apartment;;1208 Genève;3 min to city center;Cozy bio-ethanol fireplace;Fully equipped kitchen;CHF 3,000.-;—
9 rooms ;; Villa;;1206 Genève;Stunning rooftop terrace;High-end MIELE kitchen;Private garage for 2 cars;CHF 9,200.-;—
5 rooms ; 100 m_ ; Apartment;;1209 Genève;Equipped kitchen;Bright living area;Parking available;CHF 3,825.-;CHF 459 / m_ / year
3 rooms ; 40 m_ ; Apartment;;1207 Genève;100m from the lake;Geneva city center;Fully furnished;CHF 1,975.-;CHF 593 / m_ / year
2 rooms ; 43 m_ ; Apartment;Grand-Rue 10; 1204 Genève;Fully equipped kitchen;Separate bathroom and toilet;Cellar and laundry room;CHF 1,250.-;CHF 349 / m_ / year
3 rooms ; 61 m_ ; Apartment;;1205 Genève;2 balconies;Great location;Equipped kitchen;CHF 2,457.-;CHF 483 / m_ / year
1.5 rooms ; 28 m_ ; Apartment;Avenue De Frontenex 16; 1207 Genève;Sunny apartment in Eaux-Vives;Close to tram and train station;Parks and lake within walking distance;CHF 1,109.-;CHF 475 / m_ / year
3.5 rooms ; 70 m_ ; Apartment;Rue Des Deux-Ponts 25; 1205 Genève;Breathtaking panoramic view;Private garden;Near the slopes;CHF 2,125.-;CHF 364 / m_ / year
1 room ;; Furnished apartment;Rue Des Glacis-De-Rive 17; 1207 Genève;Quiet courtyard setting;Lovely terrace;Internet + Wifi;CHF 2,380.-;—
3 rooms ; 100 m_ ; Apartment;Route De Florissant 89a; 1206 Genève;Bright living room;Equipped kitchen;Balcony with view;CHF 3,200.-;CHF 384 / m_ / year
4 rooms ; 105 m_ ; Furnished apartment;Rue Des Jardins 12; 1205 Genève;Equipped kitchen with washer;Cozy living room with balcony;Master bedroom with dressing;CHF 4,100.-;CHF 469 / m_ / year
1 room ; 20 m_ ; Furnished apartment;Rue Des Pénates 3; 1203 Genève;Near Rhone and city center;Heating and water included;No rental deposit needed;CHF 1,015.-;CHF 609 / m_ / year
2 rooms ; 44 m_ ; Apartment;Avenue De Miremont 26; 1206 Genève;Stunning panoramic views;Bright and spacious living;Cozy terrace for relaxation;CHF 1,680.-;CHF 458 / m_ / year
2 rooms ; 21 m_ ; Apartment;Rue Des Glacis-De-Rive; 1207 Genève;City center location;Fully renovated;Secure building with elevator;CHF 1,740.-;CHF 994 / m_ / year
4 rooms ; 94 m_ ; Apartment;Chemin De L' Escalade 5; 1206 Genève;Sought-after Champel area;Two lovely terraces;Equipped kitchen;CHF 3,800.-;CHF 485 / m_ / year
6.5 rooms ; 139 m_ ; Apartment;Boulevard Carl- Vogt 83; 1205 Genève;Equipped kitchen;Spacious balcony;Cellar and laundry;CHF 4,800.-;CHF 414 / m_ / year
3 rooms ; 61 m_ ; Apartment;Boulevard Carl- Vogt 45; 1205 Genève;Spacious and bright;Central location;Close to amenities;CHF 2,457.-;CHF 483 / m_ / year
3 rooms ; 62 m_ ; Apartment;Rue De Vermont 2; 1202 Genève;Spacious living area;Modern kitchen;Balcony with view;CHF 1,900.-;CHF 368 / m_ / year
4.5 rooms ; 113 m_ ; Apartment;Rue De L' Athénée 35; 1206 Genève;Champel residential area;Fully equipped kitchen;Loggia and fireplace;CHF 3,900.-;CHF 414 / m_ / year
1 room ; 36 m_ ; Studio;Rue Du Mont-Blanc 17; 1201 Genève;Furnished and modern;6th floor;36 m_;CHF 2,150.-;CHF 717 / m_ / year
3 rooms ; 85 m_ ; Apartment;Boulevard Georges- Favon 15; 1204 Genève;Equipped kitchen;Balcony;Modern bathroom;CHF 2,420.-;CHF 342 / m_ / year
1 room ; 30 m_ ; Studio;Rue De La Servette 47; 1202 Genève;Fitted kitchen;Private bathroom;Elevator;CHF 960.-;CHF 384 / m_ / year
3.5 rooms ; 70 m_ ; Apartment;Rue Lamartine 34; 1203 Genève;Two balconies;Fitted kitchen;Cellar;CHF 2,402.-;CHF 412 / m_ / year
3 rooms ; 52 m_ ; Apartment;Rue Liotard; 1202 Genève;Central location, near station;Large balcony across apartment;Cellar and bike storage included;CHF 2,200.-;CHF 508 / m_ / year
4 rooms ; 65 m_ ; Apartment;;1203 Genève;Large terrace;Near amenities;Quiet environment;CHF 4,500.-;CHF 831 / m_ / year
5 rooms ; 120 m_ ; Apartment;;1204 Genève;Large private garden;Bright and airy;Modern residence;CHF 5,800.-;CHF 580 / m_ / year
2.5 rooms ; 54 m_ ; Apartment;;1207 Genève;Completely renovated;High-end finishes;Central location;CHF 2,500.-;CHF 556 / m_ / year
5 rooms ; 100 m_ ; Apartment;Rue Lombard 4; 1205 Genève;Through-apartment;Equipped kitchen;Near amenities;CHF 2,444.-;CHF 293 / m_ / year
4 rooms ; 67 m_ ; Apartment;Rue De La Dôle 2a; 1203 Genève;Quiet courtyard location;Near Cornavin train station;Modern fitted kitchen;CHF 2,750.-;CHF 493 / m_ / year
4 rooms ; 80 m_ ; Apartment;Rue Du Bois-Melly; 1205 Genève;Quiet area, near university and Plainpalais;Large secure cellar;Mountain view from bedroom;CHF 2,703.-;CHF 405 / m_ / year
1.5 rooms ; 64 m_ ; Apartment;Route De Malagnou 28; 1208 Genève;64m_ furnished & renovated;Large balcony (12m_);Terrace with Geneva view;CHF 2,200.-;CHF 413 / m_ / year
2 rooms ; 38 m_ ; Apartment;;1202 Genève;City center location;All charges included;Cellar and laundry room;CHF 1,690.-;CHF 534 / m_ / year
1 room ; 41 m_ ; Apartment;Rue De La Tour-De-Boël 2; 1204 Genève;City view;Central location;Near the train station;CHF 800.-;CHF 234 / m_ / year
2 rooms ; 40 m_ ; Apartment;Rue De Carouge 110; 1205 Genève;Near hospital;Quiet neighborhood;Balcony;CHF 1,400.-;CHF 420 / m_ / year
1 room ; 21 m_ ; Apartment;Rue des Pâquis; 1201 Genève;1 Minute from Lake;Modern kitchen;Refurbished 2023;CHF 1,500.-;CHF 857 / m_ / year
4 rooms ; 81 m_ ; Apartment;Promenade De L' Europe 23; 1203 Genève;Heart of Charmilles;Building with elevator;Close to amenities;CHF 2,163.-;CHF 320 / m_ / year
1 room ;; Apartment;Rue Des Glacis-De-Rive 17; 1207 Genève;Pleasant terrace;Equipped kitchen;Internet + Wifi;CHF 2,380.-;—
2 rooms ; 30 m_ ; Apartment;Rue Prévost-Martin 39; 1205 Genève;Bright and charming;Equipped kitchen;Near amenities;CHF 1,360.-;CHF 544 / m_ / year
1 room ; 39 m_ ; Apartment;Rue De Contamines 35; 1206 Genève;Public transport nearby;Spacious terrace;Modern kitchen, granite countertop;CHF 2,060.-;CHF 634 / m_ / year
10 rooms ; 220 m_ ; Apartment;Route De Frontenex 86; 1208 Genève;Breathtaking view;Large terrace;Duplex apartment with mezzanine;CHF 6,240.-;CHF 340 / m_ / year
3.5 rooms ; 65 m_ ; Apartment;;1203 Genève;Quiet, central location;Sunny with garden view;High ceilings (3m);CHF 2,950.-;CHF 545 / m_ / year
2.5 rooms ; 40 m_ ; Apartment;;1206 Genève;Prime location in Geneva;Fully furnished apartment;Near Parc Bertrand;CHF 1,900.-;CHF 570 / m_ / year
5 rooms ; 103 m_ ; Apartment;Rue Le-Corbusier 22; 1208 Genève;Renovated in 2023;Stunning view;Near public transport and shops;CHF 4,750.-;CHF 553 / m_ / year
4 rooms ; 80 m_ ; Apartment;Rue Du Bois-Melly; 1205 Genève;Quiet street, lively area;Large cellar storage;Mountain views;CHF 2,558.-;CHF 384 / m_ / year
2 rooms ; 23 m_ ; Apartment;Rue De Malatrex 30; 1201 Genève;Separate kitchen included;Shared laundry facilities;Ideal central location;CHF 1,230.-;CHF 642 / m_ / year
3.5 rooms ; 70 m_ ; Apartment;Rue Lamartine 34; 1203 Genève;Bright rooms with balcony view;Two balconies available;Cellar included;CHF 2,402.-;CHF 412 / m_ / year
3 rooms ;; Apartment;;1203 Genève;Charming 2.5 room apartment Charmilles;Fitted kitchen, dining area;Lift, parking space included;CHF 1,538.-;—
3 rooms ; 40 m_ ; Penthouse;;1207 Genève;Central location near lake;Stylish open kitchen;Quality finishes throughout;CHF 2,200.-;CHF 660 / m_ / year
1.5 rooms ; 25 m_ ; Studio;Rue Etienne- Dumont 5; 1204 Genève;Old Town location;Modern kitchen;Secure residence;CHF 1,750.-;CHF 840 / m_ / year
4.5 rooms ;; Apartment;Rue Saint-Ours; 1205 Genève;Spacious living room;Well-equipped kitchen;Close to amenities;CHF 2,600.-;—
3 rooms ; 53 m_ ; Apartment;Rue Des Gares 9; 1201 Genève;Balcony;Fitted kitchen;Cellar and laundry;CHF 2,000.-;CHF 453 / m_ / year
3 rooms ;; Apartment;Rue Neuve-Du-Molard 10; 1204 Genève;City center location;Semi-equipped kitchen;Available immediately;CHF 2,804.-;—
2 rooms ; 35 m_ ; Furnished apartment;Rue De Saint-Léger 8; 1205 Genève;Parc des Bastions view;High-standing building;Prime location;CHF 2,100.-;CHF 720 / m_ / year
6 rooms ; 160 m_ ; Apartment;Avenue Eugène- Pittard 5; 1206 Genève;Bright living area with loggias;Fully equipped separate kitchen;Close to shops and transport;CHF 6,255.-;CHF 469 / m_ / year
2 rooms ; 32 m_ ; Apartment;Avenue De La Croisette; 1205 Genève;Fully renovated apartment;Two balconies;Secure building;CHF 1,640.-;CHF 615 / m_ / year
4 rooms ; 75 m_ ; Apartment;Rue De Vermont 2; 1202 Genève;Spacious and bright;Central location;Balcony;CHF 2,385.-;CHF 382 / m_ / year
6 rooms ; 183 m_ ; Apartment;Avenue Eugène- Pittard 11; 1206 Genève;Luxury residence with concierge;Quiet, bright, top floor;Large balcony, SW facing;CHF 7,850.-;CHF 515 / m_ / year
4 rooms ; 91 m_ ; Apartment;Rue De L' Ancien-Port 14; 1201 Genève;Close to the lake;Spacious living area;Modern equipped kitchen;CHF 2,400.-;CHF 316 / m_ / year
4 rooms ; 80 m_ ; Apartment;Rue De-Candolle 15; 1205 Genève;Near the Bastions;Decorative fireplace;Free cellar;CHF 3,250.-;CHF 488 / m_ / year
1 room ; 31 m_ ; Furnished apartment;Rue Du Commerce 3; 1204 Genève;Modernized with terrace;Central location in Geneva;Short-term lease available;CHF 2,005.-;CHF 776 / m_ / year
3 rooms ;; Apartment;Rue Butini 16; 1202 Genève;New kitchen;Renovated bathroom;Very bright;CHF 1,720.-;—
3 rooms ; 77 m_ ; Apartment;Rue Des Confessions 2; 1203 Genève;63m2 sun terrace;Spacious rooms;Central yet quiet;CHF 3,400.-;CHF 530 / m_ / year
5 rooms ; 106 m_ ; Apartment;Chemin De Grange-Canal 23b; 1208 Genève;Near the park;Large enclosed loggia;No guarantee required;CHF 2,365.-;CHF 268 / m_ / year
1 room ; 10 m_ ; Furnished apartment;Rue Des Alpes 17; 1201 Genève;City centre location, near station;Furnished, utilities included;No rental deposit required;CHF 914.-;CHF 1,097 / m_ / year
1 room ; 15 m_ ; Furnished apartment;Rue Des Pénates 3; 1203 Genève;Near Rhone river & city center;Furnished rooms;No rental deposit;CHF 925.-;CHF 740 / m_ / year
4 rooms ; 86 m_ ; Apartment;Rue Châtelain 3; 1203 Genève;2 balconies;Fitted kitchen;Cellar and laundry room;CHF 2,165.-;CHF 302 / m_ / year
4 rooms ;; Furnished apartment;Rue Liotard; 1202 Genève;Tastefully furnished;Central location;Sunny balcony;CHF 4,450.-;—
3 rooms ; 77 m_ ; Apartment;Rue De Zurich; 1201 Genève;Bright spacious living room;Fully equipped open kitchen;Elegant bathroom with WC;CHF 2,900.-;CHF 452 / m_ / year
3 rooms ; 64 m_ ; Apartment;Rue Maurice- Braillard 4; 1202 Genève;Equipped kitchen;Loggia;Cellar;CHF 2,139.-;CHF 401 / m_ / year
4.5 rooms ;; Apartment;Rue De Lausanne; 1202 Genève;Renovated in 2022;Chateau-Banquet view;Original wood floors;CHF 2,975.-;—
4 rooms ;; Furnished apartment;Rue Des Délices; 1203 Genève;Fully renovated;Bright and quiet;Balcony and cellar;CHF 4,300.-;—
4.5 rooms ; 100 m_ ; Apartment;;1204 Genève;Bright living space;Equipped kitchen;Convenient elevator access;CHF 3,900.-;CHF 468 / m_ / year
5.5 rooms ; 119 m_ ; Furnished apartment;Chemin Docteur Adolphe-Pasteur 8; 1209 Genève;Furnished, high standing;Balcony and cellar;Garage and concierge service;CHF 5,200.-;CHF 524 / m_ / year
2 rooms ; 30 m_ ; Apartment;;1201 Genève;Modern kitchen & bathroom;Central location;Balcony;CHF 1,900.-;CHF 760 / m_ / year
4 rooms ; 70 m_ ; Apartment;;1201 Genève;High-quality furnishings;Central Geneva location;Includes utilities;CHF 4,000.-;CHF 686 / m_ / year
3 rooms ; 50 m_ ; Apartment;;1201 Genève;High-standard apartment;Geneva city center;Stylishly furnished;CHF 3,500.-;CHF 840 / m_ / year
4.5 rooms ; 78 m_ ; Apartment;Rue Charles- Giron; 1203 Genève;Large garden/terrace;Dynamic neighborhood;Near transport;CHF 2,780.-;CHF 428 / m_ / year
2.5 rooms ; Apartment; Apartment;;1206 Genève;Fully furnished;Balcony included;Near Parc Bertrand;CHF 1,900.-;—
5.5 rooms ; 92 m_ Plot ; Apartment;Chemin Des Crêts-De-Champel 11; 1206 Genève;Spacious balcony;Concierge service;Excellent location;CHF 2,836.-;—
5.5 rooms ; 120 m_ ; Apartment;Chemin De-Normandie 10; 1206 Genève;Stunning mountain view;Near public transport & shops;Many built-in wardrobes;CHF 3,852.-;CHF 385 / m_ / year
1 room ; 25 m_ ; Studio;Rue Liotard; 1202 Genève;Furnished studio;Equipped kitchen;Bathroom laundry;CHF 1,400.-;CHF 672 / m_ / year
3 rooms ; 45 m_ ; Apartment;Rue Des Charmilles 4; 1203 Genève;Quiet area, near city center;Two balconies;High-quality finishes;CHF 1,850.-;CHF 493 / m_ / year
1 room ; 25 m_ ; Apartment;Rue Liotard; 1202 Genève;Fully furnished;Near transport links;Central location;CHF 1,450.-;CHF 696 / m_ / year
3.5 rooms ; 68 m_ ; Apartment;Rue Gustave- Muller-Brun; 1208 Genève;Near Eaux-Vives station;Bio-ethanol fireplace;Luxury kitchen with terrace;CHF 3,000.-;CHF 529 / m_ / year
1.5 rooms ; Apartment; Apartment;;1227 Les Acacias;Charming and functional;Quiet & well-kept building;Prime location;CHF 1,000.-;—
