number_of_rooms;square_meters;place_type;street;zip_city;char.1;char.2;char.3;rent;p/squarem/y
4.5 rooms ; 128 m_ ; Apartment;Chemin De La Prairie 5; 1007 Lausanne;Bright living room with open view;Modern fully equipped kitchen;Sunny balcony;CHF 3,103.-;CHF 292 / m_ / year
;31 m_ ; Apartment;Avenue D'echallens 102; 1004 Lausanne;Quiet area, near the park;Bright and spacious studio;Equipped kitchen, dishwasher;CHF 1,295.-;CHF 501 / m_ / year
3 rooms ; 85 m_ ; Apartment;Chemin De Renens 52; 1004 Lausanne;High-quality, custom furniture;Quiet, bright apartment;Near public transport & highway;CHF 3,350.-;CHF 473 / m_ / year
;89 m_ ; Apartment;Rue De La Tour 15; 1003 Lausanne;Spacious and quiet;Loft with equipped kitchen;Laundry included;CHF 2,128.-;CHF 287 / m_ / year
2.5 rooms ; 75 m_ ; Apartment;Rue Dr. César-Roux 4; 1005 Lausanne;Bright rooms;Modern kitchen;Central location;CHF 1,983.-;CHF 317 / m_ / year
3 rooms ; 66 m_ ; Apartment;Chemin Du Bois-Gentil 146; 1018 Lausanne;Immediate availability;Cozy living room space;Versatile office/bedroom;CHF 1,460.-;CHF 265 / m_ / year
3.5 rooms ;; Apartment;Chemin Des Lys 6; 1010 Lausanne;Bright and airy;Top floor location;Fully equipped kitchen;CHF 2,475.-;—
2 rooms ; 43 m_ ; Apartment;Chemin Du Reposoir 2; 1007 Lausanne;Modern kitchen design;Bright living space;Renovation in progress;CHF 1,500.-;CHF 419 / m_ / year
2 rooms ; 51 m_ ; Apartment;Chemin De Montelly 17; 1007 Lausanne;Balcony;Fitted kitchen;Great location;CHF 1,490.-;CHF 351 / m_ / year
2 rooms ;; Apartment;Chemin Des Sauges 3; 1018 Lausanne;Equipped kitchen;Large living room;Bathroom (under renovation);CHF 1,490.-;—
4 rooms ; 99 m_ ; Apartment;Avenue De Tivoli 56; 1007 Lausanne;Complete renovation;Equipped kitchen;Tivoli location;CHF 2,640.-;CHF 320 / m_ / year
2 rooms ; 44 m_ ; Apartment;Avenue D'echallens 36; 1004 Lausanne;Quiet location away from road;2 min walk to public transport;Nearby shops and amenities;CHF 1,520.-;CHF 415 / m_ / year
2.5 rooms ; 60 m_ ; Apartment;Chemin De Renens 20; 1004 Lausanne;Quiet green neighborhood;Close to public transport;Spacious living area;CHF 1,770.-;CHF 354 / m_ / year
3.5 rooms ; 75 m_ ; Apartment;Avenue De Sévelin 13; 1004 Lausanne;Dynamic urban neighborhood;Open-plan kitchen design;Minergie certified building;CHF 2,382.-;CHF 381 / m_ / year
4.5 rooms ; 93 m_ ; Apartment;Avenue De France 98; 1004 Lausanne;Spacious 22m2 balcony;Modern open kitchen;Secure underground parking;CHF 3,110.-;CHF 401 / m_ / year
3 rooms ;; Apartment;Chemin de la Fauvette 2; 1012 Lausanne;Spacious ground-floor terrace;Bright living room access;Close to amenities & parks;CHF 2,160.-;—
1.5 rooms ; 23 m_ ; Furnished apartment;Avenue Du Mont-D'or; 1007 Lausanne;Close to public transport;Balcony with great views;Fully equipped kitchen;CHF 1,640.-;CHF 856 / m_ / year
3.5 rooms ; 70 m_ ; Apartment;Chemin Du Levant; 1005 Lausanne;Private garden with lake view;Quiet residential area;Balcony off the living room;On request;—
2.5 rooms ; 44 m_ ; Apartment;Avenue Victor-Ruffy 36; 1012 Lausanne;Bright living room;Equipped separate kitchen;Balcony with view;CHF 1,560.-;CHF 425 / m_ / year
3.5 rooms ; 111 m_ ; Apartment;Rue De La Grotte 5; 1003 Lausanne;Bright and spacious living room;Semi-open, fully equipped kitchen;Balcony with city views;CHF 3,604.-;CHF 390 / m_ / year
2.5 rooms ; 55 m_ ; Apartment;Chemin Du Reposoir 20; 1007 Lausanne;Spacious garden oasis;Renovated with vintage charm;Large kitchen for dining;CHF 2,400.-;CHF 524 / m_ / year
3.5 rooms ; 82 m_ ; Apartment;Rue Couchirard 5; 1004 Lausanne;Modern coworking spaces;Spacious terrace for relaxation;Vibrant urban neighborhood;CHF 2,060.-;CHF 301 / m_ / year
2.5 rooms ; 48 m_ ; Apartment;Rue Du Maupas 42c; 1004 Lausanne;Close to city center;Well-connected transport;Cozy balcony retreat;CHF 1,520.-;CHF 380 / m_ / year
1 room ;; Apartment;Chemin De La Vuachère 2; 1005 Lausanne;Peaceful park setting;Workspaces with internet;Shared kitchen & terrace;CHF 1,500.-;—
2 rooms ; 42 m_ ; Apartment;Chemin Du Devin 4; 1012 Lausanne;Renovated in a quiet area;1 min to bus stop;Equipped kitchen with fridge;CHF 1,510.-;CHF 431 / m_ / year
4 rooms ; 84 m_ ; Apartment;Chemin De Renens 22; 1004 Lausanne;Quiet green neighborhood;Fully equipped kitchen;Convenient storage space;CHF 2,020.-;CHF 289 / m_ / year
1 room ; 20 m_ ; Apartment;Chemin Des Diablerets 2; 1012 Lausanne;Close to public transport;Equipped open kitchen;Private garden space;CHF 1,515.-;CHF 909 / m_ / year
2 rooms ; 72 m_ ; Apartment;Rue Caroline 15a; 1003 Lausanne;Stunning cathedral views;Modern open kitchen;Private 30 m_ garden;CHF 3,000.-;CHF 500 / m_ / year
2.5 rooms ; 72 m_ ; Apartment;Avenue Virgile-Rossel 10; 1012 Lausanne;Close to CHUV hospital;Spacious living room;Private garage available;CHF 2,250.-;CHF 375 / m_ / year
3.5 rooms ; 81 m_ ; Apartment;Chemin Du Levant 22; 1005 Lausanne;Central, quiet location;Private garden terrace;Newly painted interior;CHF 2,300.-;CHF 341 / m_ / year
5.5 rooms ; 220 m_ ; Apartment;;1000 Lausanne;Private lake access;Spacious 80 m_ terrace;Indoor pool and sauna;CHF 14,750.-;CHF 805 / m_ / year
4.5 rooms ; 77 m_ ; Apartment;Avenue Victor-Ruffy 36; 1012 Lausanne;Spacious living room;Equipped kitchen;Available May 2025;CHF 2,540.-;CHF 396 / m_ / year
;37 m_ ; Apartment;Boulevard De Grancy 37; 1006 Lausanne;2 min walk to train station;Elevator access to top floor;Balcony with city views;On request;—
3 rooms ; 72 m_ ; Apartment;Rue Belle-Fontaine 6; 1003 Lausanne;Sunny balcony retreat;Modern kitchen design;Close to public transport;CHF 1,830.-;CHF 305 / m_ / year
5 rooms ; 135 m_ ; Apartment;Rue Cité-Derrière 8; 1005 Lausanne;Spacious entry hall;Bright living/dining area;Large balcony with views;CHF 3,095.-;CHF 275 / m_ / year
2.5 rooms ;; Apartment;;1006 Lausanne;Stunning lake views;Open kitchen design;Close to public transport;CHF 2,800.-;—
2 rooms ; 53 m_ ; Apartment;Chemin De Bonne-Espérance 24; 1006 Lausanne;Quiet, green neighborhood;Balcony;Cellar;CHF 1,650.-;CHF 374 / m_ / year
3 rooms ; 63 m_ ; Apartment;Chemin De La Fauvette 4b; 1012 Lausanne;Close to Gottettaz Park;Near shops and transport;Balcony with great views;CHF 1,700.-;CHF 324 / m_ / year
2.5 rooms ; 79 m_ ; Apartment;Rue Du Flon 12; 1003 Lausanne;Modern Minergie building;Balcony with city views;Close to public transport;CHF 2,565.-;CHF 390 / m_ / year
2 rooms ; 58 m_ ; Apartment;Chemin Des Faverges 16; 1006 Lausanne;Quiet neighborhood;City bus at doorstep;Balcony and cellar;CHF 1,635.-;CHF 338 / m_ / year
2 rooms ; 46 m_ ; Apartment;Avenue De Beaumont; 1012 Lausanne;Quiet area, near CHUV;Easy access to public transport;Balcony and cellar included;CHF 1,499.-;CHF 391 / m_ / year
2.5 rooms ;; Apartment;Chemin Du Devin 8; 1012 Lausanne;Fully renovated in 2022;Quiet neighborhood ambiance;Equipped kitchen with dishwasher;CHF 2,050.-;—
2.5 rooms ; 56 m_ ; Apartment;Chemin Des Croix-Rouges 8; 1007 Lausanne;Elevator access;Cozy balcony space;Modern fitted kitchen;CHF 1,800.-;CHF 386 / m_ / year
4.5 rooms ; 151 m_ ; Apartment;Avenue Collonges 21; 1004 Lausanne;Spacious 150m2 layout;Direct elevator access;Stunning park view terrace;CHF 4,980.-;CHF 396 / m_ / year
3.5 rooms ; 81 m_ ; Apartment;Chemin Des Aubépines 15; 1004 Lausanne;Stunning Alpine views;Newly renovated kitchen;Elegant classic building;CHF 2,900.-;CHF 430 / m_ / year
2.5 rooms ; 70 m_ ; Apartment;Avenue De L'église-Anglaise 6; 1006 Lausanne;Bright living room;Fully equipped kitchen;Quiet green area;CHF 2,700.-;CHF 463 / m_ / year
3.5 rooms ; 95 m_ ; Apartment;Route Aloys-Fauquez 4; 1018 Lausanne;Bright attic living space;Fully equipped kitchen;Pets allowed in the apartment;CHF 2,410.-;CHF 304 / m_ / year
4.5 rooms ; 190 m_ ; Apartment;Avenue De Béthusy 74; 1012 Lausanne;Access to sauna & pool;Modern Minergie building;Balcony with lake view;CHF 5,300.-;CHF 335 / m_ / year
5 rooms ;; Apartment;;1003 Lausanne;Bright with large windows;Elegant period parquet;Modern equipped kitchen;CHF 4,230.-;—
3 rooms ; 78 m_ ; Apartment;;1005 Lausanne;Bright living spaces;Convenient laundry access;Upcoming renovations planned;CHF 1,990.-;CHF 306 / m_ / year
3.5 rooms ; 86 m_ ; Apartment;;1004 Lausanne;Spacious living area;Modern fitted kitchen;Private indoor parking;CHF 2,658.-;CHF 371 / m_ / year
3 rooms ; 76 m_ ; Apartment;Chemin De Champ-Rond 15; 1010 Lausanne;Renovated in 2017;Balcony with green view;Close to metro and shops;CHF 2,220.-;CHF 351 / m_ / year
3 rooms ; 80 m_ ; Apartment;Route Du Jorat 190; 1000 Lausanne;Ideal for seniors;Community space available;Close to public transport;CHF 2,125.-;CHF 319 / m_ / year
1 room ;; Furnished apartment;Rue De L'académie 2; 1005 Lausanne;Historic building charm;Fully furnished comfort;Close to public transport;CHF 1,130.-;—
4.5 rooms ; 114 m_ ; Apartment;Rue Des Terreaux 4; 1003 Lausanne;114m2 with exposed beams;Central, near Lausanne-Flon;Open kitchen, 3 bedrooms;CHF 3,740.-;CHF 394 / m_ / year
2 rooms ; 50 m_ ; Apartment;Rue Du Maupas 24; 1004 Lausanne;City center, near amenities;Small balcony & parquet floors;Private cellar & laundry;CHF 1,432.-;CHF 344 / m_ / year
2.5 rooms ;; Apartment;Chemin de la Vulliette 36; 1000 Lausanne;Quiet location, near EHL;Sunny balcony, Alps view;Versatile mezzanine area;CHF 1,390.-;—
2.5 rooms ; 55 m_ ; Apartment;Avenue Frédéric Recordon 2b; 1004 Lausanne;Modern kitchen & bathroom;Two large balconies;Minergie standard;CHF 1,910.-;CHF 417 / m_ / year
2.5 rooms ; 65 m_ ; Apartment;Avenue Frédéric-César-De-La-Harpe 20a; 1007 Lausanne;Partial lake view;Quiet location;Parking available;CHF 1,820.-;CHF 336 / m_ / year
2.5 rooms ; 55 m_ ; Apartment;Rue De Genève 75; 1004 Lausanne;Geneva Avenue Quarter;Balcony from 2 rooms;Equipped kitchen;CHF 1,500.-;CHF 327 / m_ / year
2.5 rooms ; 61 m_ ; Apartment;;1005 Lausanne;Peaceful green neighborhood;Balcony with a view;Private parking space;CHF 1,320.-;CHF 260 / m_ / year
3 rooms ; 55 m_ ; Apartment;Avenue Des Oiseaux 9; 1018 Lausanne;Top floor apartment;Built-in wardrobes;Fitted kitchen;CHF 1,680.-;CHF 367 / m_ / year
1 room ; 28 m_ ; Apartment;Rue Du Clos-De-Bulle 5; 1004 Lausanne;Fitted kitchen;Near public transport;Cellar;CHF 1,080.-;CHF 463 / m_ / year
3.5 rooms ; 76 m_ ; Apartment;Rue Du Maupas 16; 1004 Lausanne;Elevator access;Equipped kitchen;Spacious living area;CHF 161.-;CHF 25 / m_ / year
2.5 rooms ; 56 m_ ; Apartment;Avenue De Valmont 7; 1010 Lausanne;Unfurnished kitchen with fridge;Bathroom included;Fixed-term lease until 31.12.2024;CHF 1,350.-;CHF 289 / m_ / year
2 rooms ; 38 m_ ; Apartment;Avenue De Valmont 7; 1010 Lausanne;Balcony;Equipped kitchen;Until 31.12.2024;CHF 1,495.-;CHF 472 / m_ / year
4 rooms ; 115 m_ ; Apartment;Place Du Tunnel 13; 1005 Lausanne;Fitted kitchen;Separate bath and WC;Lausanne city center;CHF 2,580.-;CHF 269 / m_ / year
2 rooms ; 62 m_ ; Apartment;Avenue Collonges 25; 1004 Lausanne;Equipped kitchen included;Cozy balcony for relaxation;Storage cellar available;CHF 1,548.-;CHF 300 / m_ / year
3.5 rooms ;; Apartment;Chemin Du Chalet De Praroman 4d; 1000 Lausanne;Countryside and mountain view;Open kitchen to living room;Indoor parking space;CHF 2,290.-;—
2 rooms ; 42 m_ ; Apartment;Avenue De Tivoli 19; 1007 Lausanne;Public transport access;Underground and outdoor parking;City center;CHF 1,205.-;CHF 344 / m_ / year
3.5 rooms ; 63 m_ ; Apartment;Avenue De Cour 17; 1007 Lausanne;Exceptional lake view;Close to shops and transport;Veranda and cellar included;CHF 2,250.-;CHF 429 / m_ / year
1 room ; 30 m_ ; Apartment;Chemin Du Furet 4; 1018 Lausanne;Equipped kitchen;Private bathroom;Built-in wardrobes;CHF 985.-;CHF 394 / m_ / year
2.5 rooms ; 55 m_ ; Apartment;Avenue Frédéric-Recordon 3; 1004 Lausanne;Tree-lined terrace;Freshly painted;Ground floor apartment;CHF 1,450.-;CHF 316 / m_ / year
6 rooms ; 150 m_ ; Apartment;Rue De L'aurore 2; 1005 Lausanne;Modern comfort, period charm;Sought-after residential area;Outdoor parking included;CHF 2,680.-;CHF 214 / m_ / year
1 room ; 9 m_ ; Apartment;Chemin De Montolivet 19; 1006 Lausanne;Furnished single room;Shared kitchen & living room;Shared laundry;CHF 520.-;CHF 693 / m_ / year
4 rooms ; 119 m_ ; Apartment;Chemin Du Treyblanc 2; 1006 Lausanne;Lake view;Charming old building;Modern comfort;CHF 3,470.-;CHF 350 / m_ / year
2 rooms ; 60 m_ ; Apartment;Chemin Des Bossons; 1018 Lausanne;Bright and spacious;Near amenities;Group visit on May 7th;CHF 1,540.-;CHF 308 / m_ / year
2 rooms ; 42 m_ ; Apartment;;1004 Lausanne;Near Lausanne city center;Open kitchen;Balcony (corridor);CHF 1,450.-;CHF 414 / m_ / year
2.5 rooms ; 44 m_ ; Apartment;Rue Du Maupas; 1004 Lausanne;Lausanne city center;Mountain view balcony;Equipped kitchen;CHF 1,430.-;CHF 390 / m_ / year
1 room ; 35 m_ ; Apartment;;1018 Lausanne;Ideal for short stays;Close to public transport;Parking in blue zone;CHF 55.-;CHF 19 / m_ / year
3.5 rooms ; 66 m_ ; Apartment;Chemin Du Parc-De-Valency 3; 1004 Lausanne;Charming apartment in Lausanne;Near Valency Park;Balcony & cellar;CHF 1,785.-;CHF 325 / m_ / year
1.5 rooms ; 28 m_ ; Apartment;;1004 Lausanne;Bright and furnished space;Central location in Lausanne;Includes bathtub and kitchen;CHF 830.-;CHF 356 / m_ / year
3.5 rooms ; 80 m_ ; Apartment;Avenue de la Chablière 20; 1004 Lausanne;Spacious sunny balcony;Equipped kitchen included;10 min walk to downtown;CHF 2,100.-;CHF 315 / m_ / year
1.5 rooms ; 38 m_ ; Apartment;Avenue De Sévelin 15; 1004 Lausanne;Mezzanine level;Fully equipped kitchen;Smart home features;CHF 1,560.-;CHF 493 / m_ / year
2.5 rooms ; 79 m_ ; Apartment;Avenue Du Léman; 1005 Lausanne;Lausanne city center;Optional underground parking;Nearby amenities;CHF 2,090.-;CHF 317 / m_ / year
4.5 rooms ;; Apartment;;1007 Lausanne;Lausanne city center;Near station and lake;Charming neighborhood;CHF 2,600.-;—
4.5 rooms ; 60 m_ ; Apartment;;1003 Lausanne;Sunny and quiet;Balcony;Parking possible;On request;—
1 room ;; Apartment;;1004 Lausanne;Furnished apartment;Equipped kitchen;Parking included;CHF 1,200.-;—
2.5 rooms ; 62 m_ ; Apartment;Avenue Du Léman; 1005 Lausanne;Lake and Alps view;Newly renovated;Central location;CHF 2,490.-;CHF 482 / m_ / year
2.5 rooms ; 60 m_ ; Apartment;;1006 Lausanne;Excellent condition;Balcony with a view;Close to amenities;CHF 2,000.-;CHF 400 / m_ / year
3 rooms ; 57 m_ ; Apartment;Avenue De La Gare; 1003 Lausanne;Lake and vineyards view;Eco-friendly building;Near train station;CHF 1,700.-;CHF 358 / m_ / year
1 room ; 24 m_ ; Apartment;Avenue De La Gare; 1003 Lausanne;Lake view & eco-habitat;Near Grandvaux train station;Shared spaces & community;CHF 835.-;CHF 418 / m_ / year
2.5 rooms ; 52 m_ ; Apartment;Avenue de Sévery 5; 1004 Lausanne;Near Valency Park;Partially furnished kitchen;Balcony and built-in wardrobes;CHF 1,705.-;CHF 393 / m_ / year
3.5 rooms ; 75 m_ ; Apartment;;1012 Lausanne;Close to amenities;Garage included;Convenient location;CHF 1,650.-;CHF 264 / m_ / year
3.5 rooms ; 72 m_ ; Apartment;Rue Belle-Fontaine 6; 1003 Lausanne;Available immediately;Viewing possible;Central location;CHF 1,700.-;CHF 283 / m_ / year
2.5 rooms ; 54 m_ ; Apartment;Chemin Du Cap 1; 1006 Lausanne;Open kitchen to living room;Modern bathroom;Full-length balcony;CHF 1,750.-;CHF 389 / m_ / year
2 rooms ; 53 m_ ; Apartment;Rue De La Tour; 1004 Lausanne;Very bright;Equipped kitchen;Public transport nearby;CHF 1,120.-;CHF 254 / m_ / year
3.5 rooms ;; Apartment;Rue De La Borde; 1018 Lausanne;Quiet courtyard location;Equipped kitchen & balcony;Large rooms & cellar;CHF 2,165.-;—
1.5 rooms ; 43 m_ ; Apartment;Rue Mathurin-Cordier 7; 1005 Lausanne;Quiet city center;Balcony;Cellar available;CHF 1,020.-;CHF 285 / m_ / year
1.5 rooms ; 45 m_ ; Apartment;Chemin De Mornex; 1003 Lausanne;Lausanne city center;Very bright;Private laundry;CHF 1,543.-;CHF 411 / m_ / year
4 rooms ; 104 m_ ; Apartment;Chemin De Mornex 13; 1003 Lausanne;Large renovated apartment;Fully equipped kitchen;Veranda;CHF 3,095.-;CHF 357 / m_ / year
3.5 rooms ; 71 m_ ; Apartment;;1006 Lausanne;Prestigious, century-old building;Open-plan kitchen, fully equipped;Near park and public transport;CHF 2,740.-;CHF 463 / m_ / year
4.5 rooms ; 90 m_ ; Apartment;;1006 Lausanne;Beautiful new apartment;Near station and amenities;Large park nearby;CHF 3,230.-;CHF 431 / m_ / year
3.5 rooms ; 72 m_ ; Apartment;Avenue Victor-Ruffy 48; 1012 Lausanne;Recently renovated;Balcony and cellar;Near CHUV and public transport;CHF 2,120.-;CHF 353 / m_ / year
3.5 rooms ; 72 m_ ; Apartment;Avenue Antoine-Michel-Servan; 1006 Lausanne;Minergie construction;Large windows;Space for washer/dryer;CHF 2,815.-;CHF 469 / m_ / year
3.5 rooms ; 85 m_ ; Apartment;Rue Beau-Séjour 8A; 1003 Lausanne;Stunning lake and mountain view;Modern fitted kitchen;Indoor parking available;CHF 4,060.-;CHF 573 / m_ / year
1 room ; 24 m_ ; Apartment;Place Du Vallon 18; 1005 Lausanne;Close to public transport;Fully furnished studio;Ideal for students;CHF 880.-;CHF 440 / m_ / year
3.5 rooms ; 69 m_ ; Apartment;Avenue De France 20; 1004 Lausanne;Modern renovated kitchen;Two spacious bedrooms;Quiet and pleasant area;CHF 2,300.-;CHF 400 / m_ / year
2 rooms ; 50 m_ ; Apartment;Chemin De Renens 58; 1004 Lausanne;Near Malley station;bright rooms;secure building;CHF 1,425.-;CHF 342 / m_ / year
4 rooms ; 103 m_ ; Apartment;Chemin Des Mésanges 6; 1012 Lausanne;Large terrace and private garden (200 m2);Bright open kitchen;Indoor parking available;CHF 3,600.-;CHF 419 / m_ / year
1.5 rooms ; 35 m_ ; Apartment;Rue Saint-Roch 5; 1004 Lausanne;Equipped kitchen;Small balcony;Parking available;CHF 990.-;CHF 339 / m_ / year
4.5 rooms ; 120 m_ ; Apartment;Route De Berne 111; 1010 Lausanne;Private garden retreat;Close to public transport;Secure building access;CHF 3,270.-;CHF 327 / m_ / year
1 room ; 21 m_ ; Apartment;Avenue De Cour 63; 1007 Lausanne;Balcony;City center;Near the lake;CHF 1,320.-;CHF 754 / m_ / year
1 room ; 17 m_ ; Apartment;Chemin De Montolivet 19; 1006 Lausanne;Furnished with sink;Shared kitchen and bath;Available August 2025;CHF 885.-;CHF 625 / m_ / year
2.5 rooms ; 48 m_ ; Apartment;Rue Du Maupas 42c; 1004 Lausanne;Near city center;Public transport access;Balcony & cellar;CHF 1,520.-;CHF 380 / m_ / year
2.5 rooms ; 79 m_ ; Duplex;Rue Du Flon 12; 1003 Lausanne;Minergie building, 2013;Near metro and parking;Balcony and cellar included;CHF 2,565.-;CHF 390 / m_ / year
2 rooms ; 58 m_ ; Apartment;Chemin Des Faverges 16; 1006 Lausanne;Equipped kitchen;Balcony;Quiet area;CHF 1,635.-;CHF 338 / m_ / year
3.5 rooms ; 95 m_ ; Apartment;Route Aloys-Fauquez 4; 1018 Lausanne;Equipped open kitchen;Near all amenities;Outdoor parking space;CHF 2,410.-;CHF 304 / m_ / year
4.5 rooms ; 190 m_ ; Apartment;Avenue De Béthusy 74; 1012 Lausanne;Minergie-certified building;Pool, sauna & gym access;Lake view balcony;CHF 5,300.-;CHF 335 / m_ / year
1 room ; 40 m_ ; Apartment;Avenue Victor-Ruffy 32; 1012 Lausanne;Near public transport & shops;Furnishable hallway;Equipped kitchen;CHF 1,250.-;CHF 375 / m_ / year
1 room ; 27 m_ ; Apartment;Chemin Isabelle-De-Montolieu 161; 1010 Lausanne;Near CHUV and highway;Sunny balcony;Cellar included;CHF 950.-;CHF 422 / m_ / year
4 rooms ; 100 m_ ; Furnished apartment;Boulevard De Grancy; 1006 Lausanne;Large private garden;City center, near station;Easy transport access;CHF 4,750.-;CHF 570 / m_ / year
6.5 rooms ; 170 m_ ; Stepped apartment;Chemin De Villard 18; 1007 Lausanne;Heated private pool;Stunning lake view;Large private garden;CHF 4,450.-;CHF 314 / m_ / year
3.5 rooms ; 76 m_ ; Apartment;Rue Chaucrau 10; 1003 Lausanne;Bright living area;Spacious mezzanine;Close to public transport;CHF 2,240.-;CHF 354 / m_ / year
3.5 rooms ; 70 m_ ; Apartment;Chemin Du Presbytère 7; 1004 Lausanne;Lausanne city center;Modernly equipped;Balcony;CHF 2,500.-;CHF 429 / m_ / year
3.5 rooms ;; Apartment;Rue De La Pontaise 47; 1018 Lausanne;High ceilings with moldings;Original parquet flooring;Close to amenities and bus;CHF 2,060.-;—
5.5 rooms ; 148 m_ ; Apartment;Chemin De La Joliette 4; 1006 Lausanne;Spacious living/dining area;2 bathrooms, sep. WC;Large balcony;CHF 4,568.-;CHF 370 / m_ / year
1 room ; 39 m_ ; Apartment;Rue De Genève 77; 1004 Lausanne;Renovated 5th floor unit;Equipped kitchen included;Protected rent for 3 years;CHF 1,072.-;CHF 330 / m_ / year
4 rooms ; 103 m_ ; Apartment;Chemin Des Mésanges 6; 1012 Lausanne;Large terrace & private garden;Bright open-plan kitchen;Indoor parking space;CHF 3,350.-;CHF 390 / m_ / year
1 room ; 26 m_ ; Apartment;Avenue De Valmont 7; 1010 Lausanne;Open kitchen;WC/Shower;Bright apartment;CHF 1,175.-;CHF 542 / m_ / year
2.5 rooms ; 66 m_ ; Apartment;Place Du Nord 6; 1005 Lausanne;Spacious bedroom;Large living area;Complete cellar;CHF 1,550.-;CHF 282 / m_ / year
1 room ; 40 m_ ; Apartment;Rue Saint-Pierre 1; 1003 Lausanne;40m2, historic charm;Central St-Pierre area;Equipped kitchen, washer;CHF 1,650.-;CHF 495 / m_ / year
2 rooms ; 66 m_ ; Apartment;Avenue De Cour 46; 1007 Lausanne;South-facing balcony;Equipped eat-in kitchen;Excellent public transport;CHF 1,925.-;CHF 350 / m_ / year
1 room ; 27 m_ ; Apartment;;1003 Lausanne;Lake view;Eco-friendly habitat;Shared spaces included;CHF 1,105.-;CHF 491 / m_ / year
1 room ; 24 m_ ; Apartment;;1003 Lausanne;Stunning lake view;Sustainable eco-habitat;Near train station;CHF 1,015.-;CHF 508 / m_ / year
3.5 rooms ;; Apartment;Chemin Isabelle-De-Montolieu 173; 1010 Lausanne;6th floor location;Balcony & cellar;Outdoor parking space;CHF 1,670.-;—
2 rooms ; 77 m_ ; Apartment;Chemin Du Treyblanc 4; 1006 Lausanne;Charming entry with fireplace;Stunning mountain and lake views;Cozy kitchen with small balcony;CHF 2,450.-;CHF 382 / m_ / year
3 rooms ; 91 m_ ; Apartment;Rue Des Fontenailles 10; 1007 Lausanne;Exceptional lakeside location;Equipped kitchen with dishwasher;Close to transport and shops;CHF 2,450.-;CHF 323 / m_ / year
3.5 rooms ; 92 m_ ; Apartment;Avenue De Florimont 22a; 1006 Lausanne;Ideal location near shops;Stunning lake and Alps view;High-quality finishes;CHF 3,900.-;CHF 509 / m_ / year
3 rooms ; 55 m_ ; Apartment;Avenue Des Oiseaux 9; 1018 Lausanne;Fitted kitchen;Bathroom/WC;Wardrobes;CHF 1,710.-;CHF 373 / m_ / year
3.5 rooms ; 86 m_ ; Apartment;Avenue De France 18a; 1004 Lausanne;Lausanne City Centre;Fitted kitchen;Bathroom with tub;CHF 2,405.-;CHF 336 / m_ / year
3.5 rooms ; 67 m_ ; Apartment;Avenue Jomini 18; 1004 Lausanne;Quiet location, city center;West-facing balcony;Fully equipped kitchen;CHF 2,000.-;CHF 358 / m_ / year
3 rooms ; 79 m_ ; Apartment;;1006 Lausanne;Quiet location, near station;Beautiful hardwood floors;Functional kitchen & bath;CHF 1,590.-;CHF 242 / m_ / year
2.5 rooms ;; Penthouse;Avenue Du Mont-D'or; 1007 Lausanne;Lake view from both sides;Ideal location near shops;Complete basement;CHF 1,950.-;—
2.5 rooms ; 55 m_ ; Apartment;Avenue Du Temple 13b; 1012 Lausanne;Quiet location in Chailly;Balcony available;Parking in the residence;CHF 1,815.-;CHF 396 / m_ / year
2.5 rooms ;; Apartment;Rue Du Maupas; 1004 Lausanne;Lausanne city center;Near Coop and Migros;Close to bus stop;CHF 1,446.-;—
3.5 rooms ; 68 m_ ; Apartment;Rue De Strasbourg; 1004 Lausanne;Charming 68m_, ground floor;Fully equipped kitchen;Near park and public transport;CHF 1,900.-;CHF 335 / m_ / year
2.5 rooms ; 65 m_ ; Apartment;Avenue De Morges 163; 1004 Lausanne;Modern equipped kitchen;Prime location near Coop;Private cellar;CHF 1,300.-;CHF 240 / m_ / year
4.5 rooms ; 16 m_ ; Apartment;Avenue Édouard Dapples 50; 1006 Lausanne;Near station and lake;Prestigious neighborhood;Balcony;CHF 1,000.-;CHF 750 / m_ / year
1 room ; 27 m_ ; Apartment;Chemin De Boston; 1004 Lausanne;City centre location;Fully furnished;Wi-Fi included;CHF 1,350.-;CHF 600 / m_ / year
1 room ; 65 m_ ; Apartment;Avenue De Provence 29; 1007 Lausanne;Modern and cozy;Private loggia;Near public transport;CHF 2,050.-;CHF 378 / m_ / year
1 room ; 66 m_ ; Apartment;Avenue De Tivoli 24; 1007 Lausanne;Spacious new attic apartment;Equipped kitchen;Bathroom and storage room;CHF 1,750.-;CHF 318 / m_ / year
2.5 rooms ; 55 m_ ; Apartment;Passage Saint-François; 1003 Lausanne;Prime central location;Bright with large windows;Fully equipped kitchen;CHF 2,000.-;CHF 436 / m_ / year
2 rooms ; 60 m_ ; Apartment;Route De Berne 111; 1010 Lausanne;Close to public transport;Equipped kitchen included;Near shops and amenities;CHF 1,740.-;CHF 348 / m_ / year
5 rooms ; 118 m_ ; Apartment;Rue De L'aurore 2; 1005 Lausanne;Charming apartment in Lausanne;Original parquet floors;Near transport and shops;CHF 2,430.-;CHF 247 / m_ / year
1 room ; 38 m_ ; Apartment;Avenue Du Grammont 18; 1007 Lausanne;Quiet area, near shops;Balcony & cellar;Open kitchen with window;CHF 990.-;CHF 313 / m_ / year
